id,isim,mahalle,enlem,boylam,oda_tipi,fiyat,yorum_sayisi
5005627,Double bed room with balcony in shared flat,Kagithane,41.09404,28.99705,Private room,130,1
5008853,Muhteşem boğaz manzarasının keyfi,Besiktas,41.04761,29.00391,Entire home/apt,651,0
5009749,"Family App,ground floor,Aksaray(3+1",Fatih,41.01186,28.94992,Entire home/apt,514,1
5010675,İNCİR ALTI  İSTANBUL,Uskudar,41.02228,29.01856,Private room,309,0
5020358,reasonable price at the city centre,Beyoglu,41.03703,28.98136,Private room,137,19
5026739,family home,Maltepe,40.91667,29.13039,Private room,1028,0
5027098,"SMARTAPT 7, groovy  flat in Ortakoy",Besiktas,41.05257,29.0274,Entire home/apt,754,0
5032208,lovely room in the center,Beyoglu,41.03359,28.97437,Private room,233,1
5036351,"SMARTAPT 6, groovy  flat in Ortakoy",Besiktas,41.05247,29.02945,Entire home/apt,480,4
5036688,Lovely&Handy room in the centre..,Beyoglu,41.03225,28.98794,Entire home/apt,151,70
5038026,Super schicke Wohnung in İstanbul,Kadikoy,40.96538,29.08547,Private room,768,0
5044207,Apartment in Taksim,Beyoglu,41.02963,28.98018,Entire home/apt,686,0
5045754,"101 no lift, 1st floor(2 small room + 1 main room)",Fatih,41.00627,28.95441,Entire home/apt,267,23
5045955,BEYOGLU STUDIO FLAT,Beyoglu,41.03943,28.98114,Entire home/apt,178,73
5052773,Lovely Central Flat in Kadikoy,Kadikoy,40.98968,29.02959,Private room,151,39
5054570,Comfortable Flat in a good location of Asian Side,Kadikoy,40.98575,29.04978,Entire home/apt,370,1
5058489,Beyoğlu - Tarlabaşı'nda 1+1 Dairede,Beyoglu,41.03589,28.97699,Private room,309,0
5063050,Far away from the chaos of city,Tuzla,40.82464,29.30946,Entire home/apt,117,7
5065330,"Cihangir, Beyoğlu",Beyoglu,41.03203,28.98468,Private room,192,0
5066978,"Very close: Ataturk Airport, CNR, Memorial. metro.",Bahcelievler,40.99447,28.84672,Entire home/apt,199,22
5067513,Designer's home at the heart of IST,Sisli,41.04875,28.98483,Private room,62,4
5072327,"SMARTAPT 5, groovy flat in Ortakoy",Besiktas,41.05127,29.0284,Entire home/apt,651,1
5073323,Bosphourus view Wi-fi Business desk,Sariyer,41.09804,29.04997,Private room,144,0
5075438,"SMARTAPT 4, groovy  flat in Ortakoy",Besiktas,41.05381,29.02951,Entire home/apt,617,1
5083154,Slice of Heaven in heart of town ,Sisli,41.05445,28.98666,Entire home/apt,487,54
5083669,ÖZYURTLAR N- RESİDENCE,Esenyurt,41.02803,28.62373,Entire home/apt,82,0
5084223,Relaxıng Seasıde View in Bakırkoy !,Zeytinburnu,40.98051,28.89743,Entire home/apt,1707,0
5087522,Excellent room in Cihangir/Taksim,Beyoglu,41.03494,28.98683,Private room,89,32
5088745,"SMARTAPT 3, groovy flat in Ortakoy",Besiktas,41.05254,29.02884,Entire home/apt,583,3
5090139,"Comfortable, Sunny, Cozy&DoubleBed",Besiktas,41.04438,28.99817,Private room,165,1
5096929,"SMARTAPT 2, groovy  flat in Ortakoy",Besiktas,41.05422,29.02807,Entire home/apt,617,4
5097187,"SMARTAPT 1, groovy flat in Ortaköy",Besiktas,41.05351,29.02819,Entire home/apt,343,2
5109232,GÜLHANE SUİTES,Fatih,41.01205,28.97768,Entire home/apt,391,17
5109607,nice and sunny room in Istanbul,Besiktas,41.04746,29.00109,Private room,240,0
5110135,G,Fatih,41.01308,28.94991,Entire home/apt,377,0
5119210,istanbul house 1,Fatih,41.00555,28.9674,Entire home/apt,226,37
5120365,Sultanahmet`de Muhteşem Daire 1,Fatih,41.00785,28.97575,Private room,501,7
5121902,"rear front room. Family-friendly, New Construction",Fatih,41.00626,28.95447,Entire home/apt,151,9
5128400,Deluxe 1+1 Apartment For Family& Couples,Besiktas,41.06491,29.00441,Hotel room,398,5
5129159,Private room in apartment with full furniture.,Uskudar,41.02846,29.07125,Private room,233,4
5129337,Hotel La Piano,Sisli,41.04881,28.98687,Hotel room,411,1
5136300,ahmet kaptan,Uskudar,41.01998,29.07514,Entire home/apt,651,0
5139769,Family suite,Sisli,41.05252,28.98872,Private room,686,1
5141757,Cozy loft/entire home and huge terrace in Uskudar,Uskudar,41.02,29.01551,Entire home/apt,117,2
5143784,COZY DUPLEX FLAT - GREAT TERRACE,Sisli,41.04345,28.98268,Entire home/apt,233,6
5147138,Deniz metro tiren alışveriş merkezi eğlence,Kucukcekmece,40.99697,28.76515,Entire home/apt,274,0
5147139,Deniz metro avm eğlence otobüs durakları,Kucukcekmece,40.99631,28.76359,Entire home/apt,267,0
5147623,Trendy apart. with bosphorus view,Sisli,41.05021,28.99737,Entire home/apt,1508,0
5148344,Studio Apartments in Old town 2,Fatih,41.00643,28.96708,Entire home/apt,117,185
5149229,3 BedR+1 Livingroom  next 2d Blue Mosq!,Fatih,41.006,28.97578,Entire home/apt,926,33
5156573,There is a nice single room,Besiktas,41.04695,29.00172,Private room,151,0
5161307,Cozy Room in Kadıkoy Center,Kadikoy,40.99408,29.02571,Private room,62,4
5165231,Cozy Flat in Downtown,Besiktas,41.04596,28.99925,Private room,206,0
5167454,Studio Apartments in Old town 1,Fatih,41.00648,28.96699,Entire home/apt,165,73
5167929,Studio Apartments in Old town 3,Fatih,41.00645,28.96703,Entire home/apt,213,25
5169814,Cosy house with balcony view,Besiktas,41.04655,29.01282,Shared room,267,0
5170796,Design Loft in Pera 1,Beyoglu,41.03206,28.97214,Entire home/apt,501,171
5172618,A nice room very close to Kadıköy,Kadikoy,40.99357,29.04258,Private room,55,1
5178127,BEAUTIFUL-CENTRAL-BOHEMIAN  ,Beyoglu,41.02751,28.97717,Private room,446,0
5183212,"Buyukada, Good location,Big flat",Adalar,40.87256,29.12528,Entire home/apt,1234,19
5187742,modern ve luks daireler full eşyali,Zeytinburnu,40.9988,28.89571,Private room,686,0
5188209,Cosy Penthouse in Taxim wth balcony,Beyoglu,41.03616,28.97645,Entire home/apt,501,8
5199858,Lir Residence Suites in Taksim,Beyoglu,41.03464,28.98648,Entire home/apt,926,2
5226789,3  Bedrooms @convenient location with awesome view,Besiktas,41.08401,29.02763,Entire home/apt,549,8
